Name,Applicants total,Admissions total,Enrolled total,Percent admitted - total,Admissions yield - total,Total price for in-state students living on campus 2013-14,Total price for students living on campus,State abbreviation,Sector of institution,Control of institution,Historically Black College or University,Historically Black Boolean,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total  enrollment,Full-time enrollment,Part-time enrollment,Undergraduate enrollment,Graduate enrollment,Full-time undergraduate enrollment,Part-time undergraduate enrollment,Percent of freshmen receiving any financial aid,"Percent of freshmen receiving federal, state, local or institutional grant aid",Percent of freshmen  receiving federal grant aid,Percent of freshmen receiving Pell grants,Percent of freshmen receiving other federal grant aid,Percent of freshmen receiving state/local grant aid,Percent of freshmen receiving institutional grant aid,Percent of freshmen receiving student loan aid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid
Alabama A & M University,6142,5521,1104,90,20,21849,27441,Alabama,"Public, 4-year or above",Public,Yes,1,City: Midsize,Master's Colleges and Universities (larger programs),5020,4439,581,4051,969,3799,252,97,89,81,81,7,1,32,89,89,1
University of Alabama at Birmingham,5689,4934,1773,87,36,22495,31687,Alabama,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (very high research activity),18568,11961,6607,11502,7066,8357,3145,90,79,36,36,10,0,60,56,55,5
University of Alabama in Huntsville,2054,1656,651,81,39,23466,35780,Alabama,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (very high research activity),7376,4802,2574,5696,1680,4237,1459,87,77,31,31,4,1,63,46,46,3
Alabama State University,10245,5251,1479,51,28,18286,25222,Alabama,"Public, 4-year or above",Public,Yes,1,City: Midsize,Master's Colleges and Universities (larger programs),6075,5182,893,5356,719,4872,484,93,87,76,76,13,11,34,81,81,0
The University of Alabama,30975,17515,6454,57,37,27000,41500,Alabama,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (high research activity),34752,29498,5254,29440,5312,26548,2892,75,60,20,18,4,3,50,42,41,8
Auburn University at Montgomery,1958,1639,579,84,35,17820,34020,Alabama,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (larger programs),5084,3223,1861,4322,762,2999,1323,90,67,48,48,5,5,48,36,36,0
Auburn University,15745,13027,3726,83,29,25282,41794,Alabama,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (high research activity),24864,21093,3771,19799,5065,18011,1788,76,68,13,13,3,1,65,32,31,3
Birmingham Southern College,1931,1240,356,64,29,45470,45470,Alabama,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Baccalaureate Colleges--Arts & Sciences,1188,1167,21,1188,0,1167,21,98,97,21,21,9,26,96,80,80,7
Huntingdon College,1470,923,261,63,28,33885,33885,Alabama,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Baccalaureate Colleges--Diverse Fields,1110,902,208,1110,0,902,208,100,100,48,48,16,53,99,78,77,10
Jacksonville State University,3083,2567,1158,83,45,21237,28029,Alabama,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),8693,5982,2711,7588,1105,5779,1809,93,83,48,48,11,21,55,57,56,2
Judson College,268,198,68,74,34,28840,28840,Alabama,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Remote,Baccalaureate Colleges--Arts & Sciences,347,262,85,347,0,262,85,100,100,82,64,18,84,100,83,83,12
University of West Alabama,462,460,380,100,83,18162,24672,Alabama,"Public, 4-year or above",Public,No,0,Rural: Remote,Master's Colleges and Universities (larger programs),4427,3890,537,1999,2428,1696,303,95,89,74,59,16,2,56,81,74,8
University of Mobile,866,617,259,71,42,32570,32570,Alabama,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Fringe,Baccalaureate Colleges--Diverse Fields,1610,1288,322,1481,129,1257,224,93,93,34,34,7,44,92,59,58,4
University of Montevallo,1385,1209,531,87,44,23340,33030,Alabama,"Public, 4-year or above",Public,No,0,Suburb: Large,Master's Colleges and Universities (medium programs),3062,2526,536,2618,444,2350,268,88,80,38,38,5,1,63,55,55,3
University of North Alabama,2542,2057,970,81,47,16933,22525,Alabama,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),6931,5133,1798,5881,1050,4795,1086,82,68,54,53,19,2,40,70,70,2
Oakwood University,2728,937,409,34,44,36295,36295,Alabama,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Midsize,Baccalaureate Colleges--Diverse Fields,1903,1810,93,1861,42,1771,90,94,91,53,53,12,1,82,73,72,12
Samford University,3447,2653,765,77,29,40900,40900,Alabama,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (medium programs),4833,4361,472,3013,1820,2850,163,98,98,14,14,10,23,97,40,39,4
University of South Alabama,4814,4142,1878,86,45,19980,26628,Alabama,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (high research activity),15065,12028,3037,11307,3758,8767,2540,91,80,45,43,17,5,54,63,63,3
Spring Hill College,6596,3052,431,46,14,46170,46170,Alabama,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (smaller programs),1422,1210,212,1292,130,1205,87,100,100,34,33,32,27,100,64,63,3
Stillman College,4121,1772,257,43,15,26877,26877,Alabama,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Small,Baccalaureate Colleges--Arts & Sciences,863,808,55,863,0,808,55,100,100,74,74,41,34,87,78,78,2
Troy University,5946,4056,2087,68,51,18228,24564,Alabama,"Public, 4-year or above",Public,No,0,Rural: Fringe,Master's Colleges and Universities (larger programs),20573,10334,10239,16316,4257,9141,7175,78,73,48,48,7,1,38,75,75,3
Tuskegee University,10022,3519,650,35,18,32853,32853,Alabama,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,Town: Distant,Baccalaureate Colleges--Diverse Fields,3118,2954,164,2584,534,2468,116,96,73,54,54,6,0,22,61,59,7
Alaska Pacific University,494,185,33,37,18,43180,43180,Alaska,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (smaller programs),669,323,346,387,282,245,142,100,100,42,42,15,15,100,58,58,4
Arizona State University-Tempe,21770,17465,7171,80,41,23837,37630,Arizona,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (very high research activity),48702,42498,6204,38730,9972,34989,3741,91,87,30,29,8,1,85,42,41,3
University of Arizona,26329,20251,7401,77,37,25179,42171,Arizona,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (very high research activity),40621,35388,5233,31670,8951,28401,3269,83,75,30,30,0,0,72,37,36,3
Embry-Riddle Aeronautical University-Prescott,1689,1334,448,79,34,46314,46314,Arizona,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Fringe,Baccalaureate Colleges--Diverse Fields,1921,1786,135,1879,42,1753,126,91,90,20,20,0,0,90,61,60,16
Northern Arizona University,33989,31057,4772,91,15,22746,35101,Arizona,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (high research activity),26594,20533,6061,22160,4434,18577,3583,83,66,37,37,4,5,61,59,58,3
Prescott College,399,291,49,73,17,41336,41336,Arizona,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (smaller programs),943,572,371,545,398,444,101,94,92,52,52,17,0,91,67,67,5
Arizona Christian University,344,209,90,61,43,35382,35382,Arizona,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Baccalaureate Colleges--Diverse Fields,635,454,181,635,0,454,181,99,98,45,38,13,1,97,68,68,7
University of Arkansas at Little Rock,1443,761,667,53,88,23191,32968,Arkansas,"Public, 4-year or above",Public,No,0,City: Midsize,Doctoral/Research Universities,12377,6632,5745,9970,2407,5552,4418,94,92,53,53,5,71,46,46,46,1
Lyon College,1309,772,174,59,23,34154,34154,Arkansas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Baccalaureate Colleges--Arts & Sciences,592,562,30,592,0,562,30,100,100,42,42,18,71,100,71,71,4
University of Arkansas,18908,11076,4339,59,39,22212,33468,Arkansas,"Public, 4-year or above",Public,No,0,City: Small,Research Universities (very high research activity),25341,20379,4962,21009,4332,18565,2444,81,66,22,22,5,50,35,41,41,3
University of Arkansas at Pine Bluff,4094,1134,568,28,50,16882,22582,Arkansas,"Public, 4-year or above",Public,Yes,1,City: Small,Baccalaureate Colleges--Diverse Fields,2615,2328,287,2521,94,2300,221,96,92,82,82,25,27,41,74,74,1
Arkansas State University-Main Campus,4838,3653,1619,76,44,20014,25624,Arkansas,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),13552,8384,5168,10098,3454,7645,2453,95,93,48,48,7,74,63,50,50,1
